bron,beoordeling,locatie,maand,opgeschoonde_review,ml_trefwoorden,polariteit,sentiment
trustpilot,1.0,Roosendaal,2025-07,vreselijk smerig zak roosendal gister regend klacht sparerib wij koud soort gekookt not_krokant smerig stukj soort vles teruggegev hap nik klacht ded nik wild nik betal wegwez vreselijk jammer leuk avond geld nooit heengan personel nik schel,"service, hygiene",-0.9997333884239197,negatief
trustpilot,5.0,nan,2025-07,lekker geget sparerib prima saus ketjap lekker patat knapper warmverder compliment bezorger vriendelijk person men goed doet best zwar dag bedankt,,0.9013301134109497,positief
trustpilot,5.0,Kerkrade,2025-07,heerlijk gang menu smaakt erg goed erg mooi ingericht zer vriendelijk behulpzam personel,service,0.997340738773346,positief
trustpilot,1.0,Rotterdam,2025-07,vandag kinder kleinkinder verjaardag rotterdam zuid etenwat aanfluit belach lang moet wacht kleintjes bezig houd tafel stond kort elkar passer toilet gan moest stan not_normaal gesprek elkar tafel voerenhet hoofdgerecht ord ijsjes allemal gesmolt hel vervel verled jar omstand not_konden vierennormal zer tevred servic ker zit kater bank nou bedoel verjaardag grag reactie kantmet vriendelijk groet dijk,lange_wachten,-0.999647855758667,negatief
trustpilot,2.0,Barendrecht,2025-07,donderdagavond drie person gan barendrecht laatst ker hamburger not_lekker uitzag idem dito smaakt zoet aardappel frites teruggegev bijna zwart geblakerd onbegrijp geserveerd helemal not_druk bar hel lang wacht drankj prijz tegenwoord for mag wel verwacht ronduit teleurstell,lange_wachten,-0.9997982382774353,negatief
trustpilot,1.0,Ede,2025-07,slecht snackbar vermomd war gast ongewenst voeltbij aankomst genegeerd gastvrouw druk gesprek leverancier maakt eerst uitgebreid belletj daarna werd kortaf verwez tafeltj prettig loopafstand discussie not_mogelijk “het terras open” bijna leg vier man bedien meedenk blijkbar tevel gevraagd kwam trag smakelos overpriced kraanwater naast appelsap kinder “doen not_aan” straalt gast last,"duur, service, lawaai",-0.9998146891593933,negatief
trustpilot,1.0,nan,2025-07,ramonoff not_juist kleiner echt plaatj not_dressing plaatj stond groetjes kes,,-0.9987120628356934,negatief
trustpilot,1.0,Emmen,2025-07,erg slechtd emmenhad brod broodj opop den dur zag lop hor vliegenfruitvliegjes melding gemeld kreg hor had last insecten ander broodj wou nee dankj flauw vanvoll pond moet betalen dag ziek bedankt,hygiene,-0.9997144341468811,negatief
trustpilot,1.0,Almere,2025-07,gister geget almer stad helas slecht ervaring… had gereserveerd uur kond tafeltj uitzoek werd daarna ruim half moet wacht tafel kwam wild kaart gevraagd daarna duurd zeker kwartier voordat onz drankjes had duurd zeker half uur langer gang menu eerst gang duurd zeker wer minut voordat tafel afgeruimd wacht gang wer lang wacht glaz leg werd gewon hoofd gezien genegeerd voldoend personel beetj elkar stond hannes uiteind kwam gang gevraagd drankj hetzelfd wer lang wacht voordat bord gang werd afgeruimd wer erg lang wacht hoofdgerecht uiteind bedien gevraagd hand lang duurd wist even informer keuk even later zei moment bezig min later stond hoofdgerecht tafel wel lekker geget aflop duurd zeker half uur voordat bord weggehaald werd wacht dessert uiteind beslot weg gan dessert kwam helemal slot reken kwam parkeergarag euro parkeerkost overhen zolang serieus motivatie problem personel nam jong man terras buit bediend moeit waard hiet dacht mens zelf server hoofdgerecht kwad weggelop almere… not_aanrader erg jammer…,"lange_wachten, service",-0.9998064637184143,negatief
trustpilot,1.0,Zwijnsdrecht,2025-07,lat bezorg zwijndrechtsat friet primasparerib zag bovenkant goed binnenzijd not_echt lekker alsof not_doorgebakken bruin rommel zond cent cent tegenwoord,,-0.9913483262062073,negatief
trustpilot,2.0,Nederweert,2025-08,lekker vriendelijk personeeler tijden not_gevraagd gevraagd duurd erg lang gevraagd war blef hoofdgerecht gevraagd dessert will had wel zin nooit dessert kaart gebracht gevraagd will half uur reken gevraagd dessert huis gegan samengevat bedien beter oplet had omzet pak helas gemist kan voel not_geroepen gan helas,"lange_wachten, service",-0.9996737241744995,negatief
trustpilot,1.0,Alphen aan den Rijn,2025-08,uur gebeld war blijkt honger verteld bestell zojuist ingepakt betekent bord ligt red druk actie sta allen zegg doe not_actie bezorg tijd not_bestelling,"bestelling_fout, lawaai",-0.99959796667099,negatief
trustpilot,1.0,Helmond,2025-08,wij ging borrel ber helmond open best nieuwig open perikel ber stat bekend laagdrempel ber helmond ler allereerst moest wij treur wacht eerst drankj daarna not_beter gastvrouw ded duitj zak volgend drankj geserveerd ging kleuter nee een ker not_vervolg onz kant,,-0.9972334504127502,negatief
trustpilot,1.0,Emmen,2025-08,moment goed achteraf zie bon zie opstan dacht not_goed bel net hen nee verkeerd begrep verder not_enkel begrip jammer laatst ker terwijl moest aftik foei gedan nooit wer,,-0.9996346235275269,negatief
